FID,ASA,CTEXP,eTH,eU,KPERC,MAGIGRF,MDT,ThetaMap,THKRAZAO,UKRAZAO,UTHRAZAO,X,Y,Cod_Litho,Geologia_R,INDICELATE
33032,0.005946167,11.105,30.7623,1.8003,0.7318,-0.537,897.52,0.440257406,31.9224,2.0889,0.0649,324785.6,7949686.3,2,Depósitos detríticos indiferenciados,1.561126747264771
33033,0.00487864,11.098,30.8572,1.8022,0.7082,-0.57,897.26,0.366887783,32.7466,2.1616,0.0656,324785.4,7949694.2,2,Depósitos detríticos indiferenciados,1.5617776968054728
33034,0.004344877,11.091,30.9521,1.8041,0.6846,-0.587,897.0,0.307280656,33.5708,2.2343,0.0663,324785.2,7949702.1,2,Depósitos detríticos indiferenciados,1.5624034110039642
33035,0.004102231,11.084,31.047,1.806,0.661,-0.659,896.74,0.265165863,34.395,2.307,0.067,324785.0,7949710.0,2,Depósitos detríticos indiferenciados,1.563004186891419
33036,0.004108321,11.093,30.9452,1.7873,0.6945,-0.679,896.512,0.26566532,35.4266,2.4021,0.0676,324784.9,7949717.8,2,Depósitos detríticos indiferenciados,1.5620757995819439
33037,0.004120501,11.102,30.8434,1.7686,0.728,-0.728,896.284,0.266657086,36.4582,2.4972,0.0682,324784.8,7949725.6,2,Depósitos detríticos indiferenciados,1.5610810041623577
33038,0.004132682,11.111,30.7416,1.7499,0.7615,-0.777,896.056,0.267639448,37.4898,2.5923,0.0688,324784.7,7949733.4,2,Depósitos detríticos indiferenciados,1.5600172070569727
33039,0.004144862,11.12,30.6398,1.7312,0.795,-0.807,895.828,0.268612562,38.5214,2.6874,0.0694,324784.6,7949741.2,2,Depósitos detríticos indiferenciados,1.558881697445262
33040,0.004150952,11.129,30.538,1.7125,0.8285,-0.813,895.6,0.269095696,39.553,2.7825,0.07,324784.5,7949749.0,2,Depósitos detríticos indiferenciados,1.557671640952138
33041,0.004173791,11.138,30.4362,1.6938,0.862,-0.811,895.372,0.270887498,40.5846,2.8776,0.0706,324784.4,7949756.8,2,Depósitos detríticos indiferenciados,1.55638407294758
